Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,800,2000,2000,38000,5.00,38.75,0.3778,0.4109,0.3875
1,1,None,800,2800,2800,37200,7.00,45.50,0.4579,0.4709,0.4550
1,2,None,800,3600,3600,36400,9.00,44.25,0.4359,0.4551,0.4425
1,3,None,800,4400,4400,35600,11.00,49.50,0.4916,0.4970,0.4950
1,4,None,800,5200,5200,34800,13.00,52.25,0.5209,0.5363,0.5225
1,5,None,800,6000,6000,34000,15.00,53.00,0.5327,0.5600,0.5300
1,6,None,800,6800,6800,33200,17.00,53.00,0.5289,0.5424,0.5300
1,7,None,800,7600,7600,32400,19.00,55.25,0.5474,0.5618,0.5525
1,8,None,800,8400,8400,31600,21.00,52.00,0.5244,0.5361,0.5200
1,9,None,800,9200,9200,30800,23.00,57.00,0.5729,0.5886,0.5700
1,10,None,800,10000,10000,30000,25.00,58.50,0.5888,0.6068,0.5850
2,0,None,800,2000,2000,38000,5.00,36.75,0.3629,0.3800,0.3675
2,1,None,800,2800,2800,37200,7.00,46.25,0.4632,0.4752,0.4625
2,2,None,800,3600,3600,36400,9.00,46.50,0.4658,0.4742,0.4650
2,3,None,800,4400,4400,35600,11.00,50.50,0.5080,0.5166,0.5050
2,4,None,800,5200,5200,34800,13.00,54.00,0.5405,0.5645,0.5400
2,5,None,800,6000,6000,34000,15.00,55.50,0.5517,0.5648,0.5550
2,6,None,800,6800,6800,33200,17.00,57.25,0.5692,0.5751,0.5725
2,7,None,800,7600,7600,32400,19.00,52.75,0.5271,0.5421,0.5275
2,8,None,800,8400,8400,31600,21.00,55.25,0.5490,0.5825,0.5525
2,9,None,800,9200,9200,30800,23.00,59.75,0.5959,0.6069,0.5975
2,10,None,800,10000,10000,30000,25.00,59.25,0.5957,0.6132,0.5925
3,0,None,800,2000,2000,38000,5.00,38.00,0.3912,0.4479,0.3800
3,1,None,800,2800,2800,37200,7.00,43.75,0.4446,0.4736,0.4375
3,2,None,800,3600,3600,36400,9.00,51.25,0.5116,0.5204,0.5125
3,3,None,800,4400,4400,35600,11.00,50.50,0.5078,0.5210,0.5050
3,4,None,800,5200,5200,34800,13.00,52.25,0.5225,0.5335,0.5225
3,5,None,800,6000,6000,34000,15.00,53.50,0.5344,0.5546,0.5350
3,6,None,800,6800,6800,33200,17.00,53.75,0.5414,0.5572,0.5375
3,7,None,800,7600,7600,32400,19.00,55.25,0.5500,0.5729,0.5525
3,8,None,800,8400,8400,31600,21.00,58.00,0.5779,0.5801,0.5800
3,9,None,800,9200,9200,30800,23.00,59.00,0.5917,0.5984,0.5900
3,10,None,800,10000,10000,30000,25.00,57.75,0.5800,0.5916,0.5775
4,0,None,800,2000,2000,38000,5.00,40.75,0.3923,0.3957,0.4075
4,1,None,800,2800,2800,37200,7.00,44.00,0.4401,0.4672,0.4400
4,2,None,800,3600,3600,36400,9.00,50.75,0.5040,0.5211,0.5075
4,3,None,800,4400,4400,35600,11.00,57.50,0.5761,0.5850,0.5750
4,4,None,800,5200,5200,34800,13.00,55.25,0.5545,0.5698,0.5525
4,5,None,800,6000,6000,34000,15.00,57.75,0.5700,0.5935,0.5775
4,6,None,800,6800,6800,33200,17.00,56.25,0.5620,0.5718,0.5625
4,7,None,800,7600,7600,32400,19.00,62.25,0.6259,0.6371,0.6225
4,8,None,800,8400,8400,31600,21.00,58.25,0.5871,0.5964,0.5825
4,9,None,800,9200,9200,30800,23.00,61.50,0.6116,0.6280,0.6150
4,10,None,800,10000,10000,30000,25.00,60.75,0.6073,0.6154,0.6075
5,0,None,800,2000,2000,38000,5.00,33.75,0.3332,0.3579,0.3375
5,1,None,800,2800,2800,37200,7.00,41.50,0.4100,0.4188,0.4150
5,2,None,800,3600,3600,36400,9.00,42.75,0.4238,0.4444,0.4275
5,3,None,800,4400,4400,35600,11.00,45.50,0.4454,0.4520,0.4550
5,4,None,800,5200,5200,34800,13.00,46.25,0.4610,0.4748,0.4625
5,5,None,800,6000,6000,34000,15.00,52.50,0.5281,0.5544,0.5250
5,6,None,800,6800,6800,33200,17.00,54.75,0.5427,0.5510,0.5475
5,7,None,800,7600,7600,32400,19.00,56.25,0.5630,0.5789,0.5625
5,8,None,800,8400,8400,31600,21.00,54.25,0.5468,0.5614,0.5425
5,9,None,800,9200,9200,30800,23.00,53.00,0.5296,0.5435,0.5300
5,10,None,800,10000,10000,30000,25.00,57.75,0.5792,0.5870,0.5775
