Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,800,2000,2000,38000,5.00,42.50,0.4000,0.4142,0.4250
1,1,None,800,2800,2800,37200,7.00,41.75,0.4098,0.4221,0.4175
1,2,None,800,3600,3600,36400,9.00,40.50,0.4049,0.4332,0.4050
1,3,None,800,4400,4400,35600,11.00,45.75,0.4525,0.4594,0.4575
1,4,None,800,5200,5200,34800,13.00,44.25,0.4343,0.4498,0.4425
1,5,None,800,6000,6000,34000,15.00,49.50,0.4949,0.5082,0.4950
1,6,None,800,6800,6800,33200,17.00,53.00,0.5308,0.5399,0.5300
1,7,None,800,7600,7600,32400,19.00,54.25,0.5400,0.5781,0.5425
1,8,None,800,8400,8400,31600,21.00,58.00,0.5790,0.6071,0.5800
1,9,None,800,9200,9200,30800,23.00,53.25,0.5360,0.5726,0.5325
1,10,None,800,10000,10000,30000,25.00,54.75,0.5424,0.5682,0.5475
2,0,None,800,2000,2000,38000,5.00,40.75,0.4015,0.4339,0.4075
2,1,None,800,2800,2800,37200,7.00,42.75,0.4257,0.4309,0.4275
2,2,None,800,3600,3600,36400,9.00,46.25,0.4539,0.4706,0.4625
2,3,None,800,4400,4400,35600,11.00,50.00,0.5033,0.5278,0.5000
2,4,None,800,5200,5200,34800,13.00,50.75,0.4912,0.5545,0.5075
2,5,None,800,6000,6000,34000,15.00,53.75,0.5399,0.5599,0.5375
2,6,None,800,6800,6800,33200,17.00,55.50,0.5397,0.5561,0.5550
2,7,None,800,7600,7600,32400,19.00,57.50,0.5675,0.5808,0.5750
2,8,None,800,8400,8400,31600,21.00,54.50,0.5429,0.5470,0.5450
2,9,None,800,9200,9200,30800,23.00,55.50,0.5482,0.5509,0.5550
2,10,None,800,10000,10000,30000,25.00,59.00,0.5927,0.6090,0.5900
3,0,None,800,2000,2000,38000,5.00,40.75,0.4077,0.4200,0.4075
3,1,None,800,2800,2800,37200,7.00,46.50,0.4623,0.4921,0.4650
3,2,None,800,3600,3600,36400,9.00,45.50,0.4480,0.4593,0.4550
3,3,None,800,4400,4400,35600,11.00,46.50,0.4599,0.4807,0.4650
3,4,None,800,5200,5200,34800,13.00,50.25,0.5036,0.5156,0.5025
3,5,None,800,6000,6000,34000,15.00,50.75,0.5030,0.5207,0.5075
3,6,None,800,6800,6800,33200,17.00,52.50,0.5251,0.5371,0.5250
3,7,None,800,7600,7600,32400,19.00,49.75,0.4897,0.5245,0.4975
3,8,None,800,8400,8400,31600,21.00,48.25,0.4852,0.4935,0.4825
3,9,None,800,9200,9200,30800,23.00,53.75,0.5417,0.5528,0.5375
3,10,None,800,10000,10000,30000,25.00,53.25,0.5338,0.5518,0.5325
4,0,None,800,2000,2000,38000,5.00,38.50,0.3831,0.4350,0.3850
4,1,None,800,2800,2800,37200,7.00,45.00,0.4401,0.4704,0.4500
4,2,None,800,3600,3600,36400,9.00,49.75,0.5019,0.5162,0.4975
4,3,None,800,4400,4400,35600,11.00,52.25,0.5155,0.5378,0.5225
4,4,None,800,5200,5200,34800,13.00,53.75,0.5314,0.5741,0.5375
4,5,None,800,6000,6000,34000,15.00,57.75,0.5712,0.5821,0.5775
4,6,None,800,6800,6800,33200,17.00,51.00,0.5030,0.5082,0.5100
4,7,None,800,7600,7600,32400,19.00,56.00,0.5605,0.5689,0.5600
4,8,None,800,8400,8400,31600,21.00,58.00,0.5767,0.5902,0.5800
4,9,None,800,9200,9200,30800,23.00,59.25,0.5875,0.5956,0.5925
4,10,None,800,10000,10000,30000,25.00,61.50,0.6176,0.6294,0.6150
5,0,None,800,2000,2000,38000,5.00,35.25,0.3416,0.3819,0.3525
5,1,None,800,2800,2800,37200,7.00,39.50,0.3890,0.4048,0.3950
5,2,None,800,3600,3600,36400,9.00,46.00,0.4609,0.5090,0.4600
5,3,None,800,4400,4400,35600,11.00,48.75,0.4785,0.4848,0.4875
5,4,None,800,5200,5200,34800,13.00,49.50,0.4903,0.4934,0.4950
5,5,None,800,6000,6000,34000,15.00,50.50,0.5028,0.5404,0.5050
5,6,None,800,6800,6800,33200,17.00,50.00,0.4937,0.5017,0.5000
5,7,None,800,7600,7600,32400,19.00,51.00,0.5068,0.5097,0.5100
5,8,None,800,8400,8400,31600,21.00,51.75,0.5171,0.5393,0.5175
5,9,None,800,9200,9200,30800,23.00,54.00,0.5393,0.5531,0.5400
5,10,None,800,10000,10000,30000,25.00,53.75,0.5375,0.5529,0.5375
