Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,None,2000,2000,38000,5.00,38.75,0.3735,0.4114,0.3875
1,1,None,None,2800,3600,36400,9.00,41.25,0.4009,0.4516,0.4125
1,2,None,None,3600,5200,34800,13.00,50.75,0.5141,0.5308,0.5075
1,3,None,None,4400,6800,33200,17.00,49.25,0.5008,0.5248,0.4925
1,4,None,None,4400,6800,33200,17.00,52.25,0.5106,0.5278,0.5225
1,5,None,None,5200,8400,31600,21.00,51.75,0.5181,0.5346,0.5175
1,6,None,None,5200,8400,31600,21.00,49.25,0.4800,0.4851,0.4925
1,7,None,None,6000,10000,30000,25.00,45.75,0.4540,0.4719,0.4575
1,8,None,None,6000,10000,30000,25.00,50.25,0.5037,0.5196,0.5025
1,9,None,None,6800,11600,28400,29.00,52.75,0.5227,0.5319,0.5275
1,10,None,None,7600,13200,26800,33.00,53.75,0.5346,0.5355,0.5375
1,11,None,None,8400,14800,25200,37.00,55.00,0.5536,0.5682,0.5500
1,12,None,None,9200,16400,23600,41.00,54.25,0.5457,0.5621,0.5425
1,13,None,None,9200,16400,23600,41.00,56.50,0.5630,0.5784,0.5650
1,14,None,None,10000,18000,22000,45.00,58.25,0.5808,0.5861,0.5825
2,0,None,None,2000,2000,38000,5.00,38.50,0.3727,0.3997,0.3850
2,1,None,None,2800,3600,36400,9.00,40.50,0.4062,0.4478,0.4050
2,2,None,None,3600,5200,34800,13.00,43.25,0.4218,0.4249,0.4325
2,3,None,None,4400,6800,33200,17.00,46.50,0.4584,0.4800,0.4650
2,4,None,None,5200,8400,31600,21.00,50.00,0.4911,0.5186,0.5000
2,5,None,None,6000,10000,30000,25.00,49.50,0.4947,0.5107,0.4950
2,6,None,None,6000,10000,30000,25.00,52.50,0.5155,0.5374,0.5250
2,7,None,None,6800,11600,28400,29.00,50.75,0.4998,0.5181,0.5075
2,8,None,None,6800,11600,28400,29.00,51.50,0.5182,0.5389,0.5150
2,9,None,None,7600,13200,26800,33.00,52.50,0.5289,0.5484,0.5250
2,10,None,None,8400,14800,25200,37.00,54.75,0.5487,0.5576,0.5475
2,11,None,None,9200,16400,23600,41.00,58.50,0.5817,0.5898,0.5850
2,12,None,None,10000,18000,22000,45.00,59.75,0.5952,0.6099,0.5975
3,0,None,None,2000,2000,38000,5.00,38.50,0.3712,0.4098,0.3850
3,1,None,None,2800,3600,36400,9.00,45.25,0.4578,0.4853,0.4525
3,2,None,None,3600,5200,34800,13.00,45.50,0.4511,0.4755,0.4550
3,3,None,None,4400,6800,33200,17.00,49.75,0.4950,0.5332,0.4975
3,4,None,None,5200,8400,31600,21.00,49.25,0.4858,0.4988,0.4925
3,5,None,None,5200,8400,31600,21.00,53.25,0.5340,0.5484,0.5325
3,6,None,None,6000,10000,30000,25.00,50.75,0.5023,0.5271,0.5075
3,7,None,None,6000,10000,30000,25.00,53.75,0.5382,0.5665,0.5375
3,8,None,None,6800,11600,28400,29.00,54.00,0.5375,0.5535,0.5400
3,9,None,None,7600,13200,26800,33.00,55.50,0.5565,0.5881,0.5550
3,10,None,None,8400,14800,25200,37.00,54.50,0.5361,0.5524,0.5450
3,11,None,None,8400,14800,25200,37.00,55.75,0.5618,0.5832,0.5575
3,12,None,None,9200,16400,23600,41.00,57.50,0.5746,0.5869,0.5750
3,13,None,None,10000,18000,22000,45.00,60.00,0.6027,0.6096,0.6000
4,0,None,None,2000,2000,38000,5.00,40.50,0.3969,0.4423,0.4050
4,1,None,None,2800,3600,36400,9.00,46.50,0.4534,0.4682,0.4650
4,2,None,None,3600,5200,34800,13.00,47.00,0.4680,0.5028,0.4700
4,3,None,None,4400,6800,33200,17.00,52.75,0.5201,0.5279,0.5275
4,4,None,None,5200,8400,31600,21.00,54.25,0.5371,0.5371,0.5425
4,5,None,None,6000,10000,30000,25.00,55.50,0.5488,0.5572,0.5550
4,6,None,None,6800,11600,28400,29.00,58.00,0.5793,0.5967,0.5800
4,7,None,None,7600,13200,26800,33.00,58.50,0.5812,0.5953,0.5850
4,8,None,None,8400,14800,25200,37.00,57.00,0.5662,0.5913,0.5700
4,9,None,None,8400,14800,25200,37.00,60.75,0.6073,0.6178,0.6075
4,10,None,None,9200,16400,23600,41.00,63.25,0.6310,0.6333,0.6325
4,11,None,None,10000,18000,22000,45.00,62.00,0.6159,0.6228,0.6200
5,0,None,None,2000,2000,38000,5.00,38.00,0.3648,0.3870,0.3800
5,1,None,None,2800,3600,36400,9.00,39.75,0.3859,0.3881,0.3975
5,2,None,None,3600,5200,34800,13.00,42.00,0.4072,0.4050,0.4200
5,3,None,None,4400,6800,33200,17.00,44.25,0.4350,0.4327,0.4425
5,4,None,None,5200,8400,31600,21.00,49.00,0.4791,0.4840,0.4900
5,5,None,None,6000,10000,30000,25.00,50.25,0.4938,0.5139,0.5025
5,6,None,None,6800,11600,28400,29.00,51.75,0.5137,0.5332,0.5175
5,7,None,None,7600,13200,26800,33.00,51.00,0.5005,0.5199,0.5100
5,8,None,None,7600,13200,26800,33.00,52.25,0.5204,0.5270,0.5225
5,9,None,None,8400,14800,25200,37.00,50.00,0.4925,0.5040,0.5000
5,10,None,None,8400,14800,25200,37.00,52.75,0.5217,0.5342,0.5275
5,11,None,None,9200,16400,23600,41.00,51.75,0.5099,0.5158,0.5175
5,12,None,None,9200,16400,23600,41.00,54.25,0.5390,0.5498,0.5425
5,13,None,None,10000,18000,22000,45.00,53.50,0.5265,0.5274,0.5350
