Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,2000,2000,38000,5.00,39.75,0.3932,0.4030,0.3975
1,1,10005,0,2000,12005,27995,30.01,42.25,0.4171,0.4383,0.4225
1,2,12854,0,2000,24859,15141,62.15,41.25,0.4031,0.4170,0.4125
1,3,0,12854,9600,30742,9258,76.86,50.00,0.4958,0.4987,0.5000
2,0,0,0,2000,2000,38000,5.00,39.25,0.3814,0.3879,0.3925
2,1,12466,0,2000,14466,25534,36.16,42.50,0.4055,0.4240,0.4250
2,2,10973,0,2000,25439,14561,63.60,44.00,0.4166,0.4543,0.4400
2,3,6097,0,2000,31536,8464,78.84,44.25,0.4171,0.4371,0.4425
2,4,3306,0,2000,34842,5158,87.11,42.75,0.4057,0.4288,0.4275
2,5,0,3306,5306,36843,3157,92.11,43.50,0.4193,0.4356,0.4350
2,6,1149,0,5306,37992,2008,94.98,44.00,0.4214,0.4537,0.4400
2,7,804,0,5306,38796,1204,96.99,44.75,0.4297,0.4629,0.4475
2,8,431,0,5306,39227,773,98.07,46.00,0.4448,0.5012,0.4600
2,9,267,0,5306,39494,506,98.73,44.25,0.4287,0.4725,0.4425
2,10,0,267,5573,39670,330,99.17,45.50,0.4385,0.4804,0.4550
3,0,0,0,2000,2000,38000,5.00,36.00,0.3574,0.3750,0.3600
3,1,10318,0,2000,12318,27682,30.80,39.25,0.3758,0.3781,0.3925
3,2,11275,0,2000,23593,16407,58.98,39.25,0.3815,0.3932,0.3925
3,3,6574,0,2000,30167,9833,75.42,40.50,0.3889,0.3907,0.4050
3,4,3729,0,2000,33896,6104,84.74,42.00,0.4071,0.4188,0.4200
3,5,2196,0,2000,36092,3908,90.23,40.75,0.3964,0.4056,0.4075
3,6,0,2196,4196,37572,2428,93.93,44.25,0.4339,0.4394,0.4425
3,7,945,0,4196,38517,1483,96.29,43.25,0.4219,0.4223,0.4325
3,8,0,945,5141,39009,991,97.52,43.50,0.4263,0.4360,0.4350
3,9,350,0,5141,39359,641,98.40,43.75,0.4234,0.4322,0.4375
3,10,199,0,5141,39558,442,98.89,41.75,0.4100,0.4168,0.4175
4,0,0,0,2000,2000,38000,5.00,38.50,0.3802,0.4249,0.3850
4,1,9703,0,2000,11703,28297,29.26,38.00,0.3764,0.4373,0.3800
4,2,0,9703,8400,23688,16312,59.22,45.50,0.4554,0.5015,0.4550
5,0,0,0,2000,2000,38000,5.00,37.75,0.3675,0.3694,0.3775
5,1,10445,0,2000,12445,27555,31.11,38.50,0.3728,0.3850,0.3850
5,2,11026,0,2000,23471,16529,58.68,38.50,0.3676,0.3760,0.3850
5,3,6165,0,2000,29636,10364,74.09,38.00,0.3602,0.3641,0.3800
5,4,0,6165,8000,33657,6343,84.14,45.25,0.4435,0.4556,0.4525
