Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
4,1,None,None,1400,1800,38200,4.50,44.50,0.4502,0.4688,0.4450
4,2,None,None,1800,2600,37400,6.50,44.00,0.4410,0.4578,0.4400
4,3,None,None,1800,2600,37400,6.50,46.50,0.4591,0.4726,0.4650
4,4,None,None,2200,3400,36600,8.50,48.00,0.4732,0.4978,0.4800
4,5,None,None,2600,4200,35800,10.50,42.00,0.4227,0.4501,0.4200
4,6,None,None,2600,4200,35800,10.50,49.50,0.5044,0.5313,0.4950
4,7,None,None,3000,5000,35000,12.50,48.00,0.4838,0.5322,0.4800
4,8,None,None,3000,5000,35000,12.50,47.50,0.4638,0.4751,0.4750
4,9,None,None,3400,5800,34200,14.50,51.50,0.5089,0.5474,0.5150
4,10,None,None,3800,6600,33400,16.50,47.00,0.4694,0.5055,0.4700
4,11,None,None,3800,6600,33400,16.50,50.00,0.4955,0.5220,0.5000
4,12,None,None,4200,7400,32600,18.50,52.00,0.5088,0.5283,0.5200
4,13,None,None,4600,8200,31800,20.50,52.00,0.5035,0.5226,0.5200
4,14,None,None,5000,9000,31000,22.50,52.00,0.5200,0.5498,0.5200
5,0,None,None,1000,1000,39000,2.50,37.50,0.3479,0.3604,0.3750
5,1,None,None,1400,1800,38200,4.50,32.50,0.3287,0.3753,0.3250
5,2,None,None,1400,1800,38200,4.50,42.50,0.4261,0.4380,0.4250
5,3,None,None,1800,2600,37400,6.50,44.50,0.4268,0.4406,0.4450
5,4,None,None,2200,3400,36600,8.50,45.00,0.4357,0.4312,0.4500
5,5,None,None,2600,4200,35800,10.50,43.50,0.4032,0.4343,0.4350
5,6,None,None,2600,4200,35800,10.50,43.50,0.4185,0.4191,0.4350
5,7,None,None,3000,5000,35000,12.50,50.00,0.5002,0.5115,0.5000
5,8,None,None,3400,5800,34200,14.50,49.00,0.4845,0.4988,0.4900
5,9,None,None,3400,5800,34200,14.50,45.50,0.4530,0.4587,0.4550
5,10,None,None,3800,6600,33400,16.50,50.50,0.4966,0.5216,0.5050
5,11,None,None,4200,7400,32600,18.50,47.50,0.4617,0.4708,0.4750
5,12,None,None,4200,7400,32600,18.50,51.00,0.5055,0.5129,0.5100
5,13,None,None,4600,8200,31800,20.50,50.50,0.4877,0.5167,0.5050
5,14,None,None,4600,8200,31800,20.50,52.50,0.5228,0.5333,0.5250
5,15,None,None,5000,9000,31000,22.50,51.50,0.5071,0.5262,0.5150
