Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,None,1000,1000,39000,2.50,37.00,0.3578,0.3905,0.3700
1,1,None,None,1400,1800,38200,4.50,34.50,0.3226,0.3577,0.3450
1,2,None,None,1400,1800,38200,4.50,41.00,0.3982,0.4071,0.4100
1,3,None,None,1800,2600,37400,6.50,39.00,0.3886,0.4268,0.3900
1,4,None,None,1800,2600,37400,6.50,37.50,0.3728,0.3850,0.3750
1,5,None,None,2200,3400,36600,8.50,36.50,0.3545,0.3995,0.3650
1,6,None,None,2200,3400,36600,8.50,39.50,0.3818,0.4053,0.3950
1,7,None,None,2600,4200,35800,10.50,43.50,0.4305,0.4362,0.4350
1,8,None,None,3000,5000,35000,12.50,42.50,0.4141,0.4212,0.4250
1,9,None,None,3000,5000,35000,12.50,38.00,0.3751,0.3863,0.3800
1,10,None,None,3400,5800,34200,14.50,41.50,0.4091,0.4500,0.4150
1,11,None,None,3800,6600,33400,16.50,42.00,0.4249,0.4566,0.4200
1,12,None,None,4200,7400,32600,18.50,43.50,0.4275,0.4543,0.4350
1,13,None,None,4600,8200,31800,20.50,45.00,0.4527,0.4754,0.4500
1,14,None,None,5000,9000,31000,22.50,42.50,0.4191,0.4307,0.4250
2,0,None,None,1000,1000,39000,2.50,32.00,0.3053,0.3499,0.3200
2,1,None,None,1400,1800,38200,4.50,40.00,0.3855,0.4363,0.4000
2,2,None,None,1800,2600,37400,6.50,43.50,0.4295,0.4530,0.4350
2,3,None,None,2200,3400,36600,8.50,41.00,0.4049,0.4238,0.4100
2,4,None,None,2200,3400,36600,8.50,39.00,0.3773,0.3833,0.3900
2,5,None,None,2600,4200,35800,10.50,43.00,0.4187,0.4369,0.4300
2,6,None,None,3000,5000,35000,12.50,45.50,0.4455,0.4750,0.4550
2,7,None,None,3400,5800,34200,14.50,50.50,0.4947,0.5018,0.5050
2,8,None,None,3800,6600,33400,16.50,47.00,0.4759,0.5054,0.4700
2,9,None,None,3800,6600,33400,16.50,47.00,0.4660,0.4884,0.4700
2,10,None,None,4200,7400,32600,18.50,50.50,0.4985,0.5285,0.5050
2,11,None,None,4600,8200,31800,20.50,51.50,0.5139,0.5258,0.5150
2,12,None,None,5000,9000,31000,22.50,50.50,0.5022,0.5244,0.5050
3,0,None,None,1000,1000,39000,2.50,39.50,0.3815,0.4053,0.3950
3,1,None,None,1400,1800,38200,4.50,42.50,0.4174,0.4832,0.4250
3,2,None,None,1800,2600,37400,6.50,45.50,0.4546,0.4776,0.4550
3,3,None,None,2200,3400,36600,8.50,45.50,0.4460,0.4567,0.4550
3,4,None,None,2600,4200,35800,10.50,44.00,0.4427,0.4801,0.4400
3,5,None,None,2600,4200,35800,10.50,51.00,0.5070,0.5573,0.5100
3,6,None,None,3000,5000,35000,12.50,46.50,0.4726,0.5168,0.4650
3,7,None,None,3000,5000,35000,12.50,47.50,0.4716,0.5006,0.4750
3,8,None,None,3400,5800,34200,14.50,49.50,0.4900,0.5086,0.4950
3,9,None,None,3800,6600,33400,16.50,51.50,0.5159,0.5288,0.5150
3,10,None,None,4200,7400,32600,18.50,48.50,0.4761,0.4996,0.4850
3,11,None,None,4200,7400,32600,18.50,52.50,0.5223,0.5411,0.5250
3,12,None,None,4600,8200,31800,20.50,53.00,0.5248,0.5496,0.5300
3,13,None,None,5000,9000,31000,22.50,49.00,0.4811,0.4920,0.4900
4,0,None,None,1000,1000,39000,2.50,37.50,0.3557,0.4204,0.3750
