Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,500,500,39500,1.25,29.00,0.2871,0.3307,0.2900
1,1,9761,0,500,10261,29739,25.65,33.00,0.3191,0.3520,0.3300
1,2,13835,0,500,24096,15904,60.24,34.00,0.3269,0.3452,0.3400
1,3,6309,0,500,30405,9595,76.01,31.00,0.2954,0.3403,0.3100
1,4,0,6309,2400,34004,5996,85.01,37.00,0.3674,0.4119,0.3700
2,0,0,0,500,500,39500,1.25,20.00,0.1693,0.1671,0.2000
2,1,8198,0,500,8698,31302,21.75,30.00,0.2703,0.2941,0.3000
2,2,14507,0,500,23205,16795,58.01,33.00,0.3153,0.3888,0.3300
2,3,6349,0,500,29554,10446,73.89,29.00,0.2659,0.2906,0.2900
2,4,0,6349,2300,33314,6686,83.28,35.00,0.3220,0.3779,0.3500
3,0,0,0,500,500,39500,1.25,37.00,0.3649,0.4600,0.3700
3,1,13013,0,500,13513,26487,33.78,39.00,0.3737,0.5109,0.3900
3,2,12436,0,500,25949,14051,64.87,38.00,0.3542,0.4892,0.3800
3,3,0,12436,2200,31573,8427,78.93,36.00,0.3233,0.4373,0.3600
4,0,0,0,500,500,39500,1.25,34.00,0.3342,0.3536,0.3400
4,1,10587,0,500,11087,28913,27.72,34.00,0.3324,0.3986,0.3400
4,2,11867,0,500,22954,17046,57.38,32.00,0.3119,0.3636,0.3200
4,3,0,11867,2100,29826,10174,74.56,39.00,0.3872,0.4675,0.3900
5,0,0,0,500,500,39500,1.25,30.00,0.2866,0.3173,0.3000
5,1,10612,0,500,11112,28888,27.78,33.00,0.3112,0.3588,0.3300
5,2,11670,0,500,22782,17218,56.95,29.00,0.2733,0.3636,0.2900
5,3,0,11670,2000,29599,10401,74.00,31.00,0.2973,0.3983,0.3100
