Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,2000,2000,38000,5.00,34.50,0.3503,0.3921,0.3450
1,1,800,800,2800,3600,36400,9.00,39.25,0.3884,0.4092,0.3925
1,2,800,800,3600,5200,34800,13.00,36.50,0.3561,0.3737,0.3650
1,3,800,800,4400,6800,33200,17.00,39.75,0.3850,0.4097,0.3975
1,4,800,800,5200,8400,31600,21.00,46.75,0.4560,0.4612,0.4675
1,5,800,800,6000,10000,30000,25.00,44.00,0.4316,0.4372,0.4400
1,6,800,800,6800,11600,28400,29.00,48.50,0.4765,0.4869,0.4850
1,7,800,800,7600,13200,26800,33.00,46.50,0.4609,0.4753,0.4650
1,8,800,800,8400,14800,25200,37.00,48.50,0.4825,0.4926,0.4850
1,9,800,800,9200,16400,23600,41.00,54.50,0.5486,0.5580,0.5450
1,10,800,800,10000,18000,22000,45.00,52.25,0.5171,0.5232,0.5225
2,0,0,0,2000,2000,38000,5.00,36.75,0.3574,0.4113,0.3675
2,1,800,800,2800,3600,36400,9.00,40.75,0.4013,0.4191,0.4075
2,2,800,800,3600,5200,34800,13.00,42.00,0.4155,0.4266,0.4200
2,3,800,800,4400,6800,33200,17.00,45.00,0.4416,0.4568,0.4500
2,4,800,800,5200,8400,31600,21.00,45.75,0.4379,0.4691,0.4575
2,5,800,800,6000,10000,30000,25.00,50.25,0.4928,0.5185,0.5025
2,6,800,800,6800,11600,28400,29.00,50.50,0.4884,0.5010,0.5050
2,7,800,800,7600,13200,26800,33.00,52.25,0.5011,0.5035,0.5225
2,8,800,800,8400,14800,25200,37.00,51.25,0.4995,0.5069,0.5125
2,9,800,800,9200,16400,23600,41.00,50.75,0.4864,0.5075,0.5075
2,10,800,800,10000,18000,22000,45.00,54.50,0.5340,0.5342,0.5450
3,0,0,0,2000,2000,38000,5.00,40.00,0.4008,0.4091,0.4000
3,1,800,800,2800,3600,36400,9.00,42.00,0.4176,0.4359,0.4200
3,2,800,800,3600,5200,34800,13.00,44.50,0.4412,0.4591,0.4450
3,3,800,800,4400,6800,33200,17.00,45.25,0.4526,0.4597,0.4525
3,4,800,800,5200,8400,31600,21.00,48.75,0.4843,0.4920,0.4875
3,5,800,800,6000,10000,30000,25.00,47.75,0.4763,0.4854,0.4775
3,6,800,800,6800,11600,28400,29.00,48.00,0.4797,0.4919,0.4800
3,7,800,800,7600,13200,26800,33.00,51.75,0.5176,0.5278,0.5175
3,8,800,800,8400,14800,25200,37.00,55.50,0.5543,0.5615,0.5550
3,9,800,800,9200,16400,23600,41.00,53.00,0.5299,0.5327,0.5300
3,10,800,800,10000,18000,22000,45.00,58.50,0.5816,0.5887,0.5850
4,0,0,0,2000,2000,38000,5.00,35.25,0.3422,0.4159,0.3525
4,1,800,800,2800,3600,36400,9.00,41.75,0.4145,0.4378,0.4175
4,2,800,800,3600,5200,34800,13.00,47.25,0.4653,0.4825,0.4725
4,3,800,800,4400,6800,33200,17.00,49.25,0.4854,0.5013,0.4925
4,4,800,800,5200,8400,31600,21.00,48.75,0.4711,0.4901,0.4875
4,5,800,800,6000,10000,30000,25.00,46.75,0.4543,0.4758,0.4675
4,6,800,800,6800,11600,28400,29.00,52.50,0.5155,0.5224,0.5250
4,7,800,800,7600,13200,26800,33.00,53.50,0.5220,0.5471,0.5350
4,8,800,800,8400,14800,25200,37.00,55.00,0.5475,0.5667,0.5500
4,9,800,800,9200,16400,23600,41.00,55.00,0.5426,0.5697,0.5500
4,10,800,800,10000,18000,22000,45.00,56.50,0.5537,0.5681,0.5650
5,0,0,0,2000,2000,38000,5.00,40.75,0.3994,0.4158,0.4075
5,1,800,800,2800,3600,36400,9.00,41.00,0.4009,0.4181,0.4100
5,2,800,800,3600,5200,34800,13.00,42.25,0.4147,0.4210,0.4225
5,3,800,800,4400,6800,33200,17.00,47.00,0.4678,0.4715,0.4700
5,4,800,800,5200,8400,31600,21.00,45.00,0.4474,0.4661,0.4500
5,5,800,800,6000,10000,30000,25.00,49.75,0.4965,0.4995,0.4975
5,6,800,800,6800,11600,28400,29.00,48.50,0.4791,0.4921,0.4850
5,7,800,800,7600,13200,26800,33.00,50.25,0.4966,0.5077,0.5025
5,8,800,800,8400,14800,25200,37.00,51.00,0.5049,0.5220,0.5100
5,9,800,800,9200,16400,23600,41.00,51.25,0.5035,0.5090,0.5125
5,10,800,800,10000,18000,22000,45.00,52.25,0.5188,0.5225,0.5225
