Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,2000,2000,38000,5.00,39.25,0.3857,0.4061,0.3925
1,1,800,0,2000,2800,37200,7.00,40.50,0.3936,0.4085,0.4050
1,2,800,0,2000,3600,36400,9.00,39.75,0.3924,0.3993,0.3975
1,3,0,800,2800,4400,35600,11.00,45.50,0.4551,0.4680,0.4550
1,4,800,0,2800,5200,34800,13.00,44.50,0.4460,0.4526,0.4450
1,5,0,800,3600,6000,34000,15.00,45.75,0.4552,0.4605,0.4575
1,6,800,0,3600,6800,33200,17.00,47.75,0.4803,0.4903,0.4775
1,7,800,0,3600,7600,32400,19.00,45.50,0.4553,0.4595,0.4550
1,8,0,800,4400,8400,31600,21.00,50.00,0.4964,0.5014,0.5000
1,9,800,0,4400,9200,30800,23.00,44.50,0.4425,0.4446,0.4450
1,10,0,800,5200,10000,30000,25.00,49.50,0.4935,0.4952,0.4950
1,11,800,0,5200,10800,29200,27.00,48.00,0.4793,0.4822,0.4800
1,12,0,800,6000,11600,28400,29.00,52.50,0.5221,0.5223,0.5250
1,13,800,0,6000,12400,27600,31.00,52.00,0.5178,0.5182,0.5200
1,14,0,800,6800,13200,26800,33.00,51.25,0.5118,0.5172,0.5125
1,15,0,0,6800,14000,26000,35.00,53.25,0.5325,0.5380,0.5325
1,16,800,0,6800,14800,25200,37.00,54.75,0.5475,0.5552,0.5475
1,17,800,0,6800,15600,24400,39.00,50.00,0.5010,0.5059,0.5000
1,18,0,800,7600,16400,23600,41.00,54.50,0.5442,0.5487,0.5450
1,19,800,0,7600,17200,22800,43.00,52.00,0.5195,0.5248,0.5200
1,20,0,800,8400,18000,22000,45.00,53.75,0.5356,0.5381,0.5375
1,21,800,0,8400,18800,21200,47.00,56.75,0.5647,0.5677,0.5675
1,22,800,0,8400,19600,20400,49.00,57.00,0.5700,0.5732,0.5700
1,23,800,0,8400,20400,19600,51.00,52.00,0.5196,0.5278,0.5200
1,24,0,800,9200,21200,18800,53.00,56.50,0.5635,0.5688,0.5650
1,25,800,0,9200,22000,18000,55.00,55.25,0.5538,0.5630,0.5525
1,26,0,800,10000,22800,17200,57.00,56.75,0.5661,0.5682,0.5675
2,0,0,0,2000,2000,38000,5.00,38.25,0.3733,0.4033,0.3825
2,1,800,0,2000,2800,37200,7.00,40.50,0.3951,0.4188,0.4050
2,2,800,0,2000,3600,36400,9.00,40.00,0.3972,0.4131,0.4000
2,3,0,800,2800,4400,35600,11.00,40.50,0.4058,0.4383,0.4050
2,4,800,0,2800,5200,34800,13.00,44.75,0.4439,0.4709,0.4475
2,5,800,0,2800,6000,34000,15.00,45.50,0.4505,0.4603,0.4550
2,6,800,0,2800,6800,33200,17.00,43.75,0.4341,0.4432,0.4375
2,7,0,800,3600,7600,32400,19.00,47.50,0.4767,0.4968,0.4750
2,8,800,0,3600,8400,31600,21.00,44.25,0.4435,0.4657,0.4425
2,9,0,800,4400,9200,30800,23.00,42.25,0.4191,0.4284,0.4225
2,10,0,0,4400,10000,30000,25.00,45.25,0.4548,0.4678,0.4525
