Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,200,None,500,39500,1.25,31.00,0.2970,0.3073,0.3100
1,1,None,200,None,700,39300,1.75,30.00,0.3015,0.3429,0.3000
1,2,None,200,None,900,39100,2.25,36.00,0.3685,0.3866,0.3600
1,3,None,200,None,1100,38900,2.75,41.00,0.4059,0.4235,0.4100
1,4,None,200,None,1300,38700,3.25,46.00,0.4684,0.4914,0.4600
1,5,None,200,None,1500,38500,3.75,46.00,0.4493,0.4609,0.4600
1,6,None,200,None,1700,38300,4.25,35.00,0.3519,0.3773,0.3500
1,7,None,200,None,1900,38100,4.75,42.00,0.4201,0.4461,0.4200
1,8,None,200,None,2100,37900,5.25,45.00,0.4549,0.5137,0.4500
1,9,None,200,None,2300,37700,5.75,41.00,0.4039,0.4371,0.4100
1,10,None,200,None,2500,37500,6.25,41.00,0.4047,0.4200,0.4100
2,0,None,200,None,500,39500,1.25,35.00,0.3257,0.3325,0.3500
2,1,None,200,None,700,39300,1.75,34.00,0.3203,0.3249,0.3400
2,2,None,200,None,900,39100,2.25,35.00,0.3317,0.3368,0.3500
2,3,None,200,None,1100,38900,2.75,39.00,0.3604,0.3693,0.3900
2,4,None,200,None,1300,38700,3.25,38.00,0.3744,0.3839,0.3800
2,5,None,200,None,1500,38500,3.75,39.00,0.3950,0.4267,0.3900
2,6,None,200,None,1700,38300,4.25,49.00,0.4886,0.5176,0.4900
2,7,None,200,None,1900,38100,4.75,39.00,0.3535,0.3435,0.3900
2,8,None,200,None,2100,37900,5.25,48.00,0.4829,0.5405,0.4800
2,9,None,200,None,2300,37700,5.75,44.00,0.4398,0.4688,0.4400
2,10,None,200,None,2500,37500,6.25,46.00,0.4566,0.4805,0.4600
3,0,None,200,None,500,39500,1.25,27.00,0.2631,0.2786,0.2700
3,1,None,200,None,700,39300,1.75,32.00,0.3219,0.3353,0.3200
3,2,None,200,None,900,39100,2.25,35.00,0.3342,0.3562,0.3500
3,3,None,200,None,1100,38900,2.75,36.00,0.3472,0.3498,0.3600
3,4,None,200,None,1300,38700,3.25,45.00,0.4458,0.4820,0.4500
3,5,None,200,None,1500,38500,3.75,53.00,0.5288,0.5475,0.5300
3,6,None,200,None,1700,38300,4.25,36.00,0.3524,0.3855,0.3600
3,7,None,200,None,1900,38100,4.75,48.00,0.4755,0.5139,0.4800
3,8,None,200,None,2100,37900,5.25,44.00,0.4375,0.4466,0.4400
3,9,None,200,None,2300,37700,5.75,46.00,0.4661,0.4859,0.4600
3,10,None,200,None,2500,37500,6.25,49.00,0.4880,0.5106,0.4900
4,0,None,200,None,500,39500,1.25,35.00,0.3644,0.3958,0.3500
4,1,None,200,None,700,39300,1.75,32.00,0.3094,0.3249,0.3200
4,2,None,200,None,900,39100,2.25,40.00,0.4001,0.4159,0.4000
4,3,None,200,None,1100,38900,2.75,42.00,0.4062,0.4403,0.4200
4,4,None,200,None,1300,38700,3.25,39.00,0.3931,0.4311,0.3900
4,5,None,200,None,1500,38500,3.75,39.00,0.3721,0.3664,0.3900
4,6,None,200,None,1700,38300,4.25,41.00,0.4080,0.4253,0.4100
4,7,None,200,None,1900,38100,4.75,38.00,0.3828,0.4050,0.3800
4,8,None,200,None,2100,37900,5.25,44.00,0.4361,0.4843,0.4400
4,9,None,200,None,2300,37700,5.75,43.00,0.4060,0.4075,0.4300
4,10,None,200,None,2500,37500,6.25,48.00,0.4741,0.4975,0.4800
5,0,None,200,None,500,39500,1.25,27.00,0.2670,0.3042,0.2700
5,1,None,200,None,700,39300,1.75,36.00,0.3570,0.3896,0.3600
5,2,None,200,None,900,39100,2.25,41.00,0.3984,0.4131,0.4100
5,3,None,200,None,1100,38900,2.75,37.00,0.3416,0.3411,0.3700
5,4,None,200,None,1300,38700,3.25,40.00,0.3809,0.4175,0.4000
5,5,None,200,None,1500,38500,3.75,46.00,0.4386,0.4682,0.4600
5,6,None,200,None,1700,38300,4.25,50.00,0.4887,0.5118,0.5000
5,7,None,200,None,1900,38100,4.75,48.00,0.4640,0.4817,0.4800
5,8,None,200,None,2100,37900,5.25,51.00,0.4980,0.5014,0.5100
5,9,None,200,None,2300,37700,5.75,51.00,0.4902,0.5034,0.5100
5,10,None,200,None,2500,37500,6.25,52.00,0.5183,0.5556,0.5200
