Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,None,200,500,500,39500,1.25,26.00,0.2587,0.3761,0.2600
1,1,None,200,700,700,39300,1.75,20.00,0.1818,0.1962,0.2000
1,2,None,200,900,900,39100,2.25,28.00,0.2743,0.3017,0.2800
1,3,None,200,1100,1100,38900,2.75,34.00,0.3239,0.3759,0.3400
1,4,None,200,1300,1300,38700,3.25,35.00,0.3332,0.4384,0.3500
1,5,None,200,1500,1500,38500,3.75,39.00,0.3707,0.3899,0.3900
1,6,None,200,1700,1700,38300,4.25,37.00,0.3436,0.3826,0.3700
1,7,None,200,1900,1900,38100,4.75,37.00,0.3690,0.4231,0.3700
1,8,None,200,2100,2100,37900,5.25,33.00,0.3136,0.3279,0.3300
1,9,None,200,2300,2300,37700,5.75,39.00,0.3881,0.4076,0.3900
1,10,None,200,2500,2500,37500,6.25,36.00,0.3618,0.3986,0.3600
2,0,None,200,500,500,39500,1.25,32.00,0.2821,0.2883,0.3200
2,1,None,200,700,700,39300,1.75,41.00,0.4079,0.4765,0.4100
2,2,None,200,900,900,39100,2.25,40.00,0.3838,0.4161,0.4000
2,3,None,200,1100,1100,38900,2.75,37.00,0.3346,0.3640,0.3700
2,4,None,200,1300,1300,38700,3.25,37.00,0.3664,0.3777,0.3700
2,5,None,200,1500,1500,38500,3.75,34.00,0.3239,0.3748,0.3400
2,6,None,200,1700,1700,38300,4.25,39.00,0.3959,0.4227,0.3900
2,7,None,200,1900,1900,38100,4.75,39.00,0.3658,0.3641,0.3900
2,8,None,200,2100,2100,37900,5.25,37.00,0.3612,0.4051,0.3700
2,9,None,200,2300,2300,37700,5.75,39.00,0.3619,0.3550,0.3900
2,10,None,200,2500,2500,37500,6.25,37.00,0.3649,0.3792,0.3700
3,0,None,200,500,500,39500,1.25,33.00,0.3012,0.3838,0.3300
3,1,None,200,700,700,39300,1.75,33.00,0.3045,0.3227,0.3300
3,2,None,200,900,900,39100,2.25,36.00,0.3536,0.3999,0.3600
3,3,None,200,1100,1100,38900,2.75,39.00,0.3735,0.4301,0.3900
3,4,None,200,1300,1300,38700,3.25,42.00,0.3995,0.4268,0.4200
3,5,None,200,1500,1500,38500,3.75,39.00,0.3632,0.3606,0.3900
3,6,None,200,1700,1700,38300,4.25,42.00,0.4123,0.4349,0.4200
3,7,None,200,1900,1900,38100,4.75,48.00,0.4576,0.4828,0.4800
3,8,None,200,2100,2100,37900,5.25,42.00,0.4009,0.4217,0.4200
3,9,None,200,2300,2300,37700,5.75,42.00,0.4165,0.4473,0.4200
3,10,None,200,2500,2500,37500,6.25,40.00,0.3963,0.4223,0.4000
4,0,None,200,500,500,39500,1.25,33.00,0.3128,0.4381,0.3300
4,1,None,200,700,700,39300,1.75,46.00,0.4517,0.5183,0.4600
4,2,None,200,900,900,39100,2.25,38.00,0.3526,0.3522,0.3800
4,3,None,200,1100,1100,38900,2.75,40.00,0.3844,0.4231,0.4000
4,4,None,200,1300,1300,38700,3.25,35.00,0.3409,0.3748,0.3500
4,5,None,200,1500,1500,38500,3.75,38.00,0.3739,0.3877,0.3800
4,6,None,200,1700,1700,38300,4.25,43.00,0.4139,0.4085,0.4300
4,7,None,200,1900,1900,38100,4.75,45.00,0.4382,0.4614,0.4500
4,8,None,200,2100,2100,37900,5.25,49.00,0.4987,0.5447,0.4900
4,9,None,200,2300,2300,37700,5.75,53.00,0.5192,0.5449,0.5300
4,10,None,200,2500,2500,37500,6.25,46.00,0.4437,0.4695,0.4600
5,0,None,200,500,500,39500,1.25,31.00,0.2715,0.2707,0.3100
5,1,None,200,700,700,39300,1.75,31.00,0.2933,0.3430,0.3100
5,2,None,200,900,900,39100,2.25,29.00,0.2733,0.2669,0.2900
5,3,None,200,1100,1100,38900,2.75,32.00,0.2943,0.4296,0.3200
5,4,None,200,1300,1300,38700,3.25,34.00,0.3350,0.3790,0.3400
5,5,None,200,1500,1500,38500,3.75,32.00,0.3105,0.3297,0.3200
5,6,None,200,1700,1700,38300,4.25,40.00,0.3935,0.4173,0.4000
5,7,None,200,1900,1900,38100,4.75,44.00,0.4281,0.4902,0.4400
5,8,None,200,2100,2100,37900,5.25,45.00,0.4390,0.4653,0.4500
5,9,None,200,2300,2300,37700,5.75,43.00,0.4230,0.4659,0.4300
5,10,None,200,2500,2500,37500,6.25,41.00,0.4262,0.4711,0.4100
