Fold,Iteration,Self-Labeled Samples,New Oracle Samples,Used Budget,Total Labeled,Total Unlabeled,% Labeled,Accuracy,F1 Score,Precision,Recall
1,0,0,0,500,500,39500,1.25,29.00,0.2625,0.3560,0.2900
1,1,200,0,500,700,39300,1.75,27.00,0.2532,0.2584,0.2700
1,2,0,200,700,900,39100,2.25,39.00,0.3719,0.3894,0.3900
1,3,200,0,700,1100,38900,2.75,26.00,0.2531,0.2785,0.2600
1,4,0,200,900,1300,38700,3.25,34.00,0.3398,0.3873,0.3400
1,5,200,0,900,1500,38500,3.75,32.00,0.3154,0.3601,0.3200
1,6,0,200,1100,1700,38300,4.25,30.00,0.3197,0.3740,0.3000
1,7,0,0,1100,1900,38100,4.75,33.00,0.3240,0.3375,0.3300
1,8,200,0,1100,2100,37900,5.25,26.00,0.2657,0.2819,0.2600
1,9,0,200,1300,2300,37700,5.75,34.00,0.3402,0.3530,0.3400
1,10,200,0,1300,2500,37500,6.25,36.00,0.3608,0.4296,0.3600
1,11,200,0,1300,2700,37300,6.75,32.00,0.3240,0.3419,0.3200
1,12,0,200,1500,2900,37100,7.25,33.00,0.3273,0.3511,0.3300
1,13,200,0,1500,3100,36900,7.75,38.00,0.3833,0.4074,0.3800
1,14,200,0,1500,3300,36700,8.25,33.00,0.3338,0.3625,0.3300
1,15,0,200,1700,3500,36500,8.75,40.00,0.4009,0.4811,0.4000
1,16,200,0,1700,3700,36300,9.25,37.00,0.3686,0.3921,0.3700
1,17,0,200,1900,3900,36100,9.75,37.00,0.3743,0.4102,0.3700
1,18,0,0,1900,4100,35900,10.25,42.00,0.4204,0.4482,0.4200
1,19,200,0,1900,4300,35700,10.75,38.00,0.3854,0.4091,0.3800
1,20,0,200,2100,4500,35500,11.25,40.00,0.3977,0.4360,0.4000
1,21,200,0,2100,4700,35300,11.75,41.00,0.4087,0.4271,0.4100
1,22,200,0,2100,4900,35100,12.25,37.00,0.3567,0.3673,0.3700
1,23,0,200,2300,5100,34900,12.75,41.00,0.4154,0.4534,0.4100
1,24,200,0,2300,5300,34700,13.25,39.00,0.3955,0.4452,0.3900
1,25,0,200,2500,5500,34500,13.75,37.00,0.3759,0.4006,0.3700
2,0,0,0,500,500,39500,1.25,24.00,0.2330,0.2479,0.2400
2,1,200,0,500,700,39300,1.75,30.00,0.3029,0.3617,0.3000
2,2,200,0,500,900,39100,2.25,30.00,0.3161,0.3728,0.3000
2,3,0,200,700,1100,38900,2.75,40.00,0.3937,0.4074,0.4000
2,4,200,0,700,1300,38700,3.25,31.00,0.3098,0.3297,0.3100
2,5,0,200,900,1500,38500,3.75,40.00,0.3872,0.3961,0.4000
2,6,200,0,900,1700,38300,4.25,38.00,0.3748,0.3827,0.3800
2,7,0,200,1100,1900,38100,4.75,43.00,0.4307,0.4579,0.4300
2,8,200,0,1100,2100,37900,5.25,39.00,0.3830,0.3993,0.3900
2,9,0,200,1300,2300,37700,5.75,44.00,0.4367,0.4507,0.4400
